# FIELD ID RA DEC
SPLUS-s23s28 iDR3.SPLUS-s23s28.018804 326.09560224278 -29.9163945073486
SPLUS-s24s50 iDR3.SPLUS-s24s50.049328 317.502681897255 -30.3151629149273
SPLUS-s24s52 iDR3.SPLUS-s24s52.054950 319.888331892633 -30.4220597369282
SPLUS-s24s52 iDR3.SPLUS-s24s52.057611 321.47607093756 -30.4926739510335
SPLUS-s24s57 iDR3.SPLUS-s24s57.042533 328.725271182658 -30.7094166418372
SPLUS-s25s16 iDR3.SPLUS-s25s16.028762 23.7627745029008 -32.1517392613776
SPLUS-s25s17 iDR3.SPLUS-s25s17.029307 26.2938287376411 -32.0827141863461
SPLUS-s25s44 iDR3.SPLUS-s25s44.027715 68.4196961279126 -32.2975129146376
SPLUS-s25s47 iDR3.SPLUS-s25s47.004000 73.7752317900294 -32.8073514495444
SPLUS-s25s48 iDR3.SPLUS-s25s48.034396 75.5939186992398 -31.7646022953249
SPLUS-s25s50 iDR3.SPLUS-s25s50.061167 317.130062981364 -31.8335315601064
SPLUS-s25s50 iDR3.SPLUS-s25s50.073693 316.693264649671 -31.5188691303603
SPLUS-s27s12 iDR3.SPLUS-s27s12.018329 18.2146917627688 -35.0898974412559
SPLUS-s27s26 iDR3.SPLUS-s27s26.048505 40.9424622835552 -34.2333412441122
SPLUS-s27s44 iDR3.SPLUS-s27s44.012758 69.9466917666492 -35.1629639928764
SPLUS-s27s47 iDR3.SPLUS-s27s47.024061 314.869720793232 -35.0222106010889
SPLUS-s28s40 iDR3.SPLUS-s28s40.018339 65.5521413922175 -36.375024953573
SPLUS-s28s41 iDR3.SPLUS-s28s41.013024 66.757560326945 -36.6103016069866
SPLUS-s28s42 iDR3.SPLUS-s28s42.031358 67.6811578072634 -36.1961778627212
SPLUS-s28s42 iDR3.SPLUS-s28s42.047728 67.9798171583899 -35.4857171222271
SPLUS-s28s44 iDR3.SPLUS-s28s44.006989 72.1910336575153 -36.714567983037
SPLUS-s28s47 iDR3.SPLUS-s28s47.058412 315.607939900005 -35.7808908151093
SPLUS-s29s31 iDR3.SPLUS-s29s31.017079 51.1915563078962 -37.6646172094407
SPLUS-s29s35 iDR3.SPLUS-s29s35.035040 58.2792112906571 -37.5207297439657
SPLUS-s29s48 iDR3.SPLUS-s29s48.007957 318.580931073182 -38.0211866976765
SPLUS-s29s48 iDR3.SPLUS-s29s48.008644 318.361438417821 -38.0022282184176
SPLUS-s30s41 iDR3.SPLUS-s30s41.034491 68.1007258247558 -38.6335461956776
SPLUS-s31s45 iDR3.SPLUS-s31s45.020223 318.743380842896 -40.5065149179066
SPLUS-s32s45 iDR3.SPLUS-s32s45.028057 318.020337032205 -41.6008770513724
SPLUS-s33s40 iDR3.SPLUS-s33s40.019190 71.2063630497776 -43.0212767972462
SPLUS-s34s41 iDR3.SPLUS-s34s41.027669 73.9179260617125 -44.205240347193
SPLUS-s35s41 iDR3.SPLUS-s35s41.000011 315.349131202932 -46.0830821318659
SPLUS-s36s41 iDR3.SPLUS-s36s41.059469 316.813061329441 -45.9738850007596
SPLUS-s37s44 iDR3.SPLUS-s37s44.001133 325.158659167342 -48.6557049375726
SPLUS-s43s46 iDR3.SPLUS-s43s46.001335 344.465491368516 -56.4067579081706
SPLUS-s43s46 iDR3.SPLUS-s43s46.015832 345.080059856897 -56.1687081881455
SPLUS-s46s32 iDR3.SPLUS-s46s32.012920 320.591157184531 -59.8555389820807
